Date : 2025-11-15 14:12:56
Directory : /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src
Total : 194 files,  24083 codes, 9023 comments, 5484 blanks, all 38590 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionDifference.java              | Java     |         21 |         36 |          9 |         66 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionExp.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionFloor.java                   | Java     |         12 |         32 |          9 |         53 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionHour.java                    | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionIIF.java                     | Java     |         65 |         36 |         32 |        133 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionInsert.java                  | Java     |         40 |         36 |         15 |         91 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLCase.java                   | Java     |         17 |         36 |         10 |         63 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLTrim.java                   | Java     |         31 |         36 |         12 |         79 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLeft.java                    | Java     |         25 |         36 |         13 |         74 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLength.java                  | Java     |         13 |         36 |          7 |         56 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLocate.java                  | Java     |         19 |         37 |         10 |         66 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLog.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionLog10.java                   | Java     |          9 |         32 |          5 |         46 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionMinute.java                  | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionMod.java                     | Java     |         11 |         32 |          7 |         50 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionMonth.java                   | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionOctetLen.java                | Java     |         15 |         40 |         10 |         65 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionPI.java                      | Java     |         10 |         32 |          5 |         47 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionPower.java                   | Java     |         11 |         32 |          5 |         48 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRTrim.java                   | Java     |         29 |         36 |         12 |         77 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRadians.java                 | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRand.java                    | Java     |         15 |         32 |         10 |         57 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRepeat.java                  | Java     |         30 |         36 |         14 |         80 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReplace.java                 | Java     |         61 |         36 |         14 |        111 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnFloat.java             | Java     |         40 |         32 |         15 |         87 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnInt.java               | Java     |         36 |         37 |         25 |         98 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnP1.java                | Java     |         61 |         37 |         12 |        110 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnP1Number.java          | Java     |         44 |         33 |         22 |         99 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnP1StringAndBinary.java | Java     |         36 |         37 |         19 |         92 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionReturnString.java            | Java     |         37 |         36 |         21 |         94 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRight.java                   | Java     |         25 |         36 |         13 |         74 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionRound.java                   | Java     |         31 |         32 |          8 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSign.java                    | Java     |         43 |         36 |          7 |         86 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSin.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSoundex.java                 | Java     |         75 |         36 |         15 |        126 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSpace.java                   | Java     |         24 |         36 |         10 |         70 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSqrt.java                    | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionSubstring.java               | Java     |         40 |         36 |         13 |         89 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionTan.java                     | Java     |          8 |         32 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionTimestampAdd.java            | Java     |         77 |         37 |         31 |        145 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionTimestampDiff.java           | Java     |        104 |         37 |         30 |        171 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionTruncate.java                | Java     |         31 |         32 |          8 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionUCase.java                   | Java     |         17 |         36 |         10 |         63 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionFunctionYear.java                    | Java     |         11 |         36 |          8 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionInSelect.java                        | Java     |         30 |         37 |          9 |         76 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionName.java                            | Java     |        129 |         63 |         42 |        234 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ExpressionValue.java                           | Java     |        564 |         77 |         59 |        700 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Expressions.java                               | Java     |         79 |         36 |         21 |        136 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/FileIndex.java                                 | Java     |         40 |         56 |         19 |        115 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/FileIndexNode.java                             | Java     |         48 |         40 |         12 |        100 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ForeignKey.java                                | Java     |         16 |         33 |          6 |         55 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/ForeignKeys.java                               | Java     |         27 |         39 |         11 |         77 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/GroupResult.java                               | Java     |        154 |         76 |         25 |        255 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Identity.java                                  | Java     |         73 |         36 |         16 |        125 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Index.java                                     | Java     |        368 |        124 |         56 |        548 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/IndexDescription.java                          | Java     |        162 |         69 |         48 |        279 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/IndexDescriptions.java                         | Java     |         71 |         47 |         24 |        142 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/IndexNode.java                                 | Java     |        239 |        132 |         81 |        452 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/IndexNodeScrollStatus.java                     | Java     |         18 |         58 |          8 |         84 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/IndexScrollStatus.java                         | Java     |        101 |         66 |         20 |        187 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Join.java                                      | Java     |        161 |         50 |         43 |        254 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/JoinScroll.java                                | Java     |        127 |         38 |         17 |        182 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/JoinScrollIndex.java                           | Java     |         57 |         36 |         19 |        112 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Lobs.java                                      | Java     |         12 |         39 |          8 |         59 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Logger.java                                    | Java     |         18 |         36 |          6 |         60 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/LongList.java                                  | Java     |         33 |         37 |         17 |         87 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/LongLongList.java                              | Java     |         41 |         37 |          9 |         87 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/LongTreeList.java                              | Java     |        318 |        247 |         59 |        624 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/LongTreeListEnum.java                          | Java     |         10 |         39 |          5 |         54 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MemoryResult.java                              | Java     |        183 |         72 |         80 |        335 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MemoryStream.java                              | Java     |        103 |         36 |         25 |        164 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Money.java                                     | Java     |         78 |         39 |         24 |        141 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/Mutable.java                                   | Java     |          4 |         36 |          4 |         44 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MutableDouble.java                             | Java     |         25 |         36 |         10 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MutableFloat.java                              | Java     |         25 |         36 |         10 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MutableInteger.java                            | Java     |         25 |         36 |         10 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MutableLong.java                               | Java     |         25 |         36 |         10 |         71 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/MutableNumeric.java                            | Java     |        427 |         90 |         77 |        594 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/NoFromResult.java                              | Java     |         77 |         42 |         35 |        154 |
| /Users/AlessiaFrunza/UvA/P2_Software_Evolution/smallsql0.21_src/src/smallsql/database/RowSource.java                                 | Java     |         49 |        112 |         42 |        203 |
